,Date,Location,"Confirmed/
possible US strike",Air strike?,Drone strike,Strike type,Minimum strikes,Maximum strikes,Minimum people killed,Maximum people killed,Minimum civilians killed,Maximum civilians killed,Minimum children killed,Maximum children killed,Minimum people injured,Maximum people injured,Strike link,,Index
SOM037,11/04/2016,Lower Juba,Confirmed,1,1,Air operation - drone strike,1,1,8,12,3,3,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM037,,37
SOM038,12/05/2016,"Afgoye, Lower Shabelle",Confirmed,1,1,Air operation - drone strike,1,1,5,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM038,,38
SOM039,27/05/2016,South-central Somalia,Confirmed,1,1,Air operation - drone or airstrike,1,1,1,1,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM039,,39
SOM040,21/06/2016,Southern Somalia,Confirmed,1,1,Air operation - drone or airstrike,1,1,3,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM040,,40
SOM041,30/08/2016,Near Gobanale,Confirmed,1,1,Air operation - drone or airstrike,1,1,2,2,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM041,,41
SOM042,05/09/2016,Tortoroow,Confirmed,1,1,Air operation - drone or airstrike,2,2,4,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM042,,42
SOM043,26/09/2016,"Caba, near Kismayo",Confirmed,1,1,Air operation - drone or airstrike,1,1,4,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM043,,43
SOM044,28/09/2016,"Galcayo, Galmudug ",Confirmed,1,1,Air operation - drone or airstrike,1,1,10,22,0,2,0,0,3,16,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM044,,44
SOM045,07/01/2017,Gaduug,Confirmed,1,0,Air operation - drone or airstrike,1,1,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM045,,45
SOM046,04/05/2017,"Dar es Salam village, Lower Shabelle",Confirmed,0,0," Ground operation - Somali-led or joint operation, ambushed before reaching target",1,1,4,9,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM046,,46
SOM047,11/06/2017,"Sakow, Middle Juba region",Confirmed,1,1,Air operation - drone or airstrike,1,1,8,8,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM047,,47
SOM048,02/07/2017,"Kunyo Barrow, Lower Shabelle",Confirmed,1,1,Air operation - drone or airstrike,1,1,1,1,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM048,,48
